movieId|sim_moveId|relevance
1|11|0.9999884373793673
1|47|0.9999866569164986
1|32|0.9998401033659099
1|6|0.9997963185985614
1|50|0.999719532153768
2|15|0.9999757356234257
2|14|0.999975735623402
2|24|0.9999201644755241
2|22|0.9999200702551702
2|10|0.999808182655479
3|31|0.9999968041457541
3|20|0.9999879296390946
3|52|0.9999811557228999
3|45|0.9999672680795939
3|16|0.9999037519130773
4|46|0.9951437253210622
4|42|0.9951436311006214
4|8|0.9951435996937896
4|44|0.9951435682869931
4|5|0.9871698546695347
5|19|0.9996082648335803
5|14|0.9990038741482602
5|15|0.9990038113346396
5|2|0.9986917604397639
5|24|0.9979817205169421
6|32|0.9999923035776508
6|17|0.9999863240605085
6|21|0.999938947553255
6|11|0.9998619547921564
6|1|0.9997963185985614
7|16|0.9999993076492538
7|36|0.9999993076492538
7|29|0.9999987655006399
7|45|0.9999779302587193
7|52|0.9999627660855783
8|44|0.9999999057795474
8|46|0.9999998743727115
8|42|0.9999998429659112
8|9|0.9980693749579407
8|41|0.9980693435511284
9|23|0.9999999371863636
9|41|0.9999999057795238
9|28|0.9997420408320987
9|43|0.9991363767475598
9|44|0.9980694063647805
10|24|0.999975085603475
10|22|0.9999750541967338
10|20|0.9999496170548093
10|3|0.9998919273045551
10|31|0.9998657670726021
11|1|0.9999884373793673
11|47|0.9999693844099247
11|32|0.9999027760572656
11|6|0.9998619547921564
11|17|0.9997896040890943
12|54|0.9999999371863558
12|38|0.9999999371863558
12|40|0.9999999057795238
12|37|0.9999999057795238
12|26|0.9999999057795238
13|54|0.9999999057795474
13|38|0.9999999057795474
13|33|0.9999999057795474
13|27|0.9999999057795474
13|53|0.9999999057480303
14|15|0.9999998743727194
14|2|0.999975735623402
14|19|0.9998608241601545
14|24|0.9998206156753345
14|22|0.9998205214549334
15|14|0.9999998743727194
15|2|0.9999757356234257
15|19|0.999860761346534
15|24|0.9998204900480698
15|22|0.9998203958277159
16|36|1.0
16|7|0.9999993076492538
16|29|0.999998029125493
16|45|0.9999827033654641
16|52|0.9999689157086471
17|6|0.9999863240605085
17|21|0.9999792742111772
17|32|0.9999781836884063
17|39|0.9997931295701499
17|11|0.9997896040890943
18|25|0.9999999057795238
18|48|0.9999998115591462
18|29|0.9999578307356902
18|7|0.9999460925649082
18|16|0.9999386597902169
19|14|0.9998608241601545
19|15|0.999860761346534
19|2|0.9997276009170792
19|5|0.9996082648335803
19|24|0.999365726793576
20|3|0.9999879296390946
20|31|0.9999796999039356
20|10|0.9999496170548093
20|52|0.9999453023261173
20|45|0.999922382333861
21|17|0.9999792742111772
21|6|0.999938947553255
21|32|0.99991543595641
21|39|0.9999029587052052
21|34|0.999704009264898
22|24|0.9999998429659664
22|10|0.9999750541967338
22|2|0.9999200702551702
22|20|0.9998543224275387
22|14|0.9998205214549334
23|9|0.9999999371863636
23|41|0.9999998429659112
23|28|0.9997419780184861
23|43|0.9991363139339393
23|42|0.9980694063647884
24|22|0.9999998429659664
24|10|0.999975085603475
24|2|0.9999201644755241
24|20|0.9998542910206989
24|14|0.9998206156753345
25|48|0.999999905779587
25|18|0.9999999057795238
25|29|0.9999578621425105
25|7|0.9999460611580882
25|16|0.9999386911970489
26|26|1.0
26|49|0.9999999685931759
26|35|0.9999999685931759
26|30|0.9999999685931759
26|27|0.9999999685931759
27|26|0.9999999685931759
27|40|0.9999999685931759
27|54|0.9999999371863558
27|38|0.9999999371863558
27|35|0.9999999371863558
28|43|0.9998221591823456
28|41|0.9997420722389307
28|9|0.9997420408320987
28|23|0.9997419780184861
28|46|0.9964055637033167
29|7|0.9999987655006399
29|16|0.999998029125493
29|36|0.999998029125493
29|45|0.999969623813926
29|25|0.9999578621425105
30|40|0.9999999685931759
30|26|0.9999999685931759
30|49|0.9999999371863558
30|35|0.9999999371863558
30|27|0.9999999371863558
31|3|0.9999968041457541
31|52|0.9999915516108928
31|45|0.9999813171486152
31|20|0.9999796999039356
31|16|0.9999283543142258
32|6|0.9999923035776508
32|17|0.9999781836884063
32|21|0.99991543595641
32|11|0.9999027760572656
32|1|0.9998401033659099
33|49|0.9999999371863558
33|35|0.9999999371863558
33|53|0.9999999371548387
33|13|0.9999999057795474
33|40|0.9999999057795238
34|39|0.9999457799355821
34|21|0.999704009264898
34|17|0.999527596505437
34|6|0.9993851384975092
34|32|0.9993036914420925
35|35|1.0
35|40|0.9999999685931759
35|26|0.9999999685931759
35|33|0.9999999371863558
35|30|0.9999999371863558
36|36|1.0
36|7|0.9999993076492538
36|29|0.999998029125493
36|45|0.9999827033654641
36|52|0.9999689157086471
37|40|0.99999993718634
37|26|0.99999993718634
37|54|0.9999999057795238
37|12|0.9999999057795238
37|38|0.9999999057795238
38|38|1.0
38|12|0.9999999371863558
38|27|0.9999999371863558
38|13|0.9999999057795474
38|40|0.9999999057795238
39|34|0.9999457799355821
39|21|0.9999029587052052
39|17|0.9997931295701499
39|6|0.9996942344942927
39|32|0.9996375693745689
40|26|1.0
40|49|0.9999999685931759
40|35|0.9999999685931759
40|30|0.9999999685931759
40|27|0.9999999685931759
41|9|0.9999999057795238
41|23|0.9999998429659112
41|28|0.9997420722389307
41|43|0.9991364081543957
41|46|0.9980694063647727
42|46|0.9999999057795474
42|44|0.9999998743727431
42|8|0.9999998429659112
42|23|0.9980694063647884
42|9|0.9980694063647805
43|28|0.9998221591823456
43|41|0.9991364081543957
43|9|0.9991363767475598
43|23|0.9991363139339393
43|46|0.9946374148398631
44|8|0.9999999057795474
44|42|0.9999998743727431
44|46|0.9999998429659112
44|9|0.9980694063647805
44|23|0.99806934355116
45|52|0.9999979226997956
45|16|0.9999827033654641
45|36|0.9999827033654641
45|31|0.9999813171486152
45|7|0.9999779302587193
46|42|0.9999999057795474
46|8|0.9999998743727115
46|44|0.9999998429659112
46|41|0.9980694063647727
46|9|0.9980693749579407
47|1|0.9999866569164986
47|11|0.9999693844099247
47|50|0.9998127124123958
47|32|0.9997637700723792
47|6|0.9997042681062287
48|25|0.999999905779587
48|18|0.9999998115591462
48|29|0.9999577679221565
48|7|0.9999459669376987
48|16|0.9999385969766597
49|35|1.0
49|40|0.9999999685931759
49|26|0.9999999685931759
49|33|0.9999999371863558
49|30|0.9999999371863558
50|47|0.9998127124123958
50|1|0.999719532153768
50|11|0.9996311087826177
50|32|0.9991562206693826
50|6|0.999050683289
51|40|0.9999999371233373
51|26|0.9999999371233373
51|49|0.9999999057165212
51|35|0.9999999057165212
51|30|0.9999999057165212
52|45|0.9999979226997956
52|31|0.9999915516108928
52|3|0.9999811557228999
52|16|0.9999689157086471
52|36|0.9999689157086471
53|40|0.9999999685616587
53|26|0.9999999685616587
53|49|0.9999999371548387
53|35|0.9999999371548387
53|33|0.9999999371548387
54|38|1.0
54|12|0.9999999371863558
54|27|0.9999999371863558
54|13|0.9999999057795474
54|40|0.9999999057795238
